,storey_range,price_per_sqm,type_index,remaining_lease,PSch Dist,SSch Dist,JC Dist,Poly Dist,ITE Dist,Uni Dist,lat,long,region_1,region_2,region_3,region_4,region_5,data source
1,0.19711531661965243,0.3225847510365911,0.0,0.24244275447755972,0.11113830240660395,0.08642896784392778,0.29011769088788564,0.14329419924246126,0.18113715910873995,0.06902927994615911,0.002080388923720769,0.47282828046548037,0.16564524070870434,0.10168328813847749,0.2984054476106042,0.005662087380465072,0.5345845305727711,room_4
2,0.24979179600945484,0.2127477941168867,2.220446049250313e-16,0.3065359624650944,0.06314054679119953,0.0766200966145626,0.09977684601866199,0.3028605409074913,0.4366276845181897,0.13979613004394315,0.0496538186092038,0.3650642393235497,0.22003913036068795,0.4952964974585148,0.06026072200951067,0.17511558297550403,0.11350810396172867,room_4
3,0.10884534790648685,0.007652919261503799,1.3877787807814457e-16,0.2905050306438966,0.1667744678586689,0.20292741566220052,0.08671841702857917,0.34285172176814865,0.32611126792163414,0.046539103523010564,0.02821648388177524,0.020702036847615412,0.22418950635712068,0.17733706719543652,0.5129302982376264,0.4531048860438483,0.22313720851692215,room_4
4,0.45303711577874567,0.12536175905957453,5.551115123125783e-17,0.278910673344471,0.57300862181963,0.011003917999525829,0.13807114146091384,0.4057666111917501,0.19381845393214098,0.025915613229343937,0.045479338693123345,0.09847200646613762,0.2756583689247164,0.15295458358015063,0.07677869870081871,0.012621786246580438,0.18341551236408965,room_4
5,0.32981892842080957,0.03818429555386362,1.6653345369377348e-16,0.3010384753919255,0.491723890155311,0.3756129941080245,0.2899495271422409,0.18959531560249915,0.09860117821818666,0.06754385573052207,0.14962746486426418,0.045371757817193874,0.1660472884215442,0.35018694867168426,0.3015424510248969,0.08238290062549974,0.09794855967101425,room_4
6,0.3451801433397114,0.20793800348180763,1.3877787807814457e-16,0.1056012003478656,0.2191454247484948,0.6649603774575409,0.4269184228301807,0.17780603297268827,0.16707039366697693,0.001108618516254517,0.0623943326293909,0.021341111029225833,0.17015223275103225,0.14429083752021438,0.049673352733747955,0.15303557636766268,0.12028423420954522,room_4
0,0.16318241072274342,0.3252511881960086,2.220446049250313e-16,0.11335285130681641,0.1380570785982678,0.1439361205301827,0.2708437262432265,0.13147099523912706,0.07751214819223802,0.4717771358796151,0.47032875690532666,0.03515919102330159,0.31274196574970803,0.0917427849243519,0.149429943827336,0.3565606428295279,0.1326642488916117,room_5
1,0.014228707341085063,0.17376882558492862,1.0755285551056204e-16,0.0808703241408235,0.0842414899680222,0.07802048713240663,0.18618354101237464,0.34896191526762255,0.10035153149179825,0.05229979041752946,0.058306197097586075,0.5711354836634875,0.08684703028502083,0.3668415021747983,0.20277860356066102,0.0738697260088565,0.5121985273116556,room_5
2,0.28278586777521403,0.35459420112113893,1.6653345369377348e-16,0.2331551472812583,0.044023009126021986,0.1612099545775197,0.18055834783182445,0.03714070665515581,0.5142451305447527,0.12257223924663226,0.0017837763392792583,0.06429461814400182,0.39872608586776354,0.3453323924409306,0.004915855144529083,0.23408200841308333,0.2477132736572502,room_5
3,0.16616639926704002,0.091720476152749,5.551115123125783e-17,0.3716154622082428,0.1731370821682437,0.18914734554926738,0.13800177480424283,0.34611396269712585,0.19378823928193525,0.0034880800349165325,0.021740035740762532,0.10630683526622778,0.1053819606754976,0.24492228001621652,0.5839037525906754,0.397279359421762,0.04559511292617779,room_5
4,0.5399682664389162,0.22385546225292743,5.551115123125783e-17,0.2302897619585728,0.4630097072804206,0.18438166816309637,0.06345784526472475,0.390820012043828,0.32638689175879576,0.07649987261347665,0.13581105650476738,0.07698139215231775,0.19436247844281218,0.04165153195757317,0.06343749312321553,0.09182992748833105,0.10690076978135093,room_5
5,0.11648866227231529,0.010779572126825808,3.191891195797325e-16,0.48252513253734053,0.22278353374326326,0.6669498428810088,0.1614363103956969,0.15672525346941407,0.022303006052892142,0.05635633130148676,0.134072006826477,0.061394165582590456,0.21986324478463118,0.3171957135857168,0.16703649212361632,0.008260434450135076,0.07787302035851623,room_5
6,0.3044784968520583,0.1414817949758618,1.942890293094024e-16,0.11468788871014561,0.7226562655061742,0.29506217006456675,0.40078035255548056,0.06898848191322134,0.14375816255748228,0.0519423803623936,0.11977686078081634,0.025799529375850325,0.1318650474732795,0.03885631306976423,0.1427517789009647,0.13827955033695125,0.05167523984637055,room_5
0,0.0012475230861618571,0.25568758046612383,4.85722573273506e-17,0.22271028996166348,0.12614481139606867,0.08385353264724503,0.259586248343001,0.10157026956299178,0.31677763823209826,0.46147430173204756,0.4567808757909373,0.05864710092347218,0.1620420902650693,0.17451692574463773,0.032525812495028096,0.4211159229056997,0.15450489859286737,room_exec
1,0.0669997301617442,0.19853139774401662,1.1102230246251565e-16,0.12968150973622317,0.15910244675243823,0.08891177319093593,0.19911122432806797,0.41142220020888415,0.05133510880892448,0.007551403368282968,0.019510851136949316,0.5270643935999358,0.07210879997707897,0.3646636537876126,0.13757471783823988,0.018109301457919738,0.5087659120167562,room_exec
2,0.17837660415964407,0.008326732183856878,5.551115123125783e-17,0.2986818432984109,0.19247601455619617,0.26532442519557486,0.16967288861319924,0.2570611491647315,0.2542909236607549,0.02748312258068149,0.01883207070312288,0.1595304902952822,0.28084893624374696,0.12488010225585142,0.6202082204802422,0.325639652667874,0.013921695478465272,room_exec
3,0.2720399548366924,0.5049047660054624,0.0,0.05852695650834644,0.16957810563977208,0.028361576126956056,0.06408492633916713,0.05211291187224773,0.2149216564272937,0.04655216599886355,0.05074476658942495,0.10698962213361674,0.5438129491381479,0.4376650124214062,0.23782740341466588,0.04974488368420116,0.15018802269751413,room_exec
4,0.49531794550483854,0.029855600385013836,1.6653345369377348e-16,0.4223282317660876,0.13908278718821493,0.5281952016637486,0.2830725211578278,0.2438668888410656,0.19611610053322154,0.0031944495883781607,0.06074588386143155,0.14427978898723404,0.013634253537661038,0.23335843265679787,0.11856013495748613,0.03149860049493807,0.06930489499917308,room_exec
5,0.4346380085640313,0.07880251077733585,8.326672684688674e-17,0.12327592405626259,0.5582317457368876,0.0720899834300292,0.4029608070343836,0.32091542034528175,0.014553413983836408,0.05543090730131639,0.11345531862059847,0.06475514838030243,0.3424172186721066,0.1808214815645704,0.12291631514595014,0.02107453205043891,0.14714279968020894,room_exec
6,0.48791971108474136,0.15611046281274898,5.551115123125783e-17,0.13226158012242437,0.5198649696758999,0.49093268053119754,0.09742361696574349,0.13316475193219546,0.18994322950598957,0.012543299337649852,0.07758053244207039,0.0789388201035871,0.048198991311909835,0.0780633988634941,0.3209289724411638,0.11057183479759264,0.09719898875160822,room_exec
0,0.09277341332360835,0.27020949494607804,5.551115123125783e-17,0.12429998452063201,0.30803289288125235,0.06360023460336922,0.30488936104242376,0.3327420676357289,0.3386464943081364,0.31752913184427844,0.30326788382116693,0.31148534502512665,0.07143388060142128,0.29838726400477633,0.0,0.31888382157439693,0.0,room_mg
1,0.035123228886349944,0.24990368430915685,2.7755575615628914e-17,0.056279801623812076,0.2320010577523659,0.5293749995442687,0.2429225693820338,0.1030856227698044,0.019584878708269818,0.18376566673071126,0.24056363431259437,0.21377557256843321,0.5438783443965072,0.2576022974902109,0.0,0.1719297749472327,0.0,room_mg
2,0.7287254552239413,0.14269803823053678,0.0,0.6216661071528148,0.0017660634342658577,0.011564037844141319,0.013105332354511445,0.005402856386159061,0.042233374705264004,0.10676250724906126,0.10279783782740412,0.09881704504211491,0.0380166815180952,0.10729253414014107,0.0,0.12376952276270281,0.0,room_mg
3,0.6115913004295358,0.21077615035081226,5.551115123125783e-17,0.7287387451640127,0.050636511768605875,0.13858599628002588,0.09317746260901918,0.08264340303882238,0.036625360888405595,0.044981179564516874,0.04617804108618196,0.02478599242526679,0.04340346238496758,0.03480060931722589,0.0,0.06309363878975988,0.0,room_mg
4,0.290556666706013,0.8735789953691351,3.3306690738754696e-16,0.04644517663598069,0.02407968927532711,0.2961824034995122,0.03043286549422075,0.06935257948610862,0.08071423466037644,0.10925587968388328,0.1121680370603737,0.058200178990863216,0.08327491649381835,0.053809064276286234,0.0,0.10949396913843887,0.0,room_mg
5,0.024554637121776173,0.19115167887065646,1.3877787807814457e-16,0.12418131941840194,0.1474339589572932,0.742716542432639,0.11259486487592751,0.06567958471702834,0.023367527052294272,0.16254884302528194,0.20784229314181032,0.15059280530019029,0.4482143326857281,0.20029359522191267,0.0,0.15238985346292083,0.0,room_mg
6,0.006974091264208045,0.008150843694122382,1.1102230246251565e-16,0.04939176063643026,0.8813532401475828,0.22698867999442862,0.14176950685233483,0.25418719131042145,0.2591399833211959,0.06697010002797704,0.07229487393571102,0.02332202460695528,0.06363557728633172,0.054472682369205924,0.0,0.001585248239165045,0.0,room_mg
