,Name,School Type,lat,long
116,Paya Lebar Methodist Girls' School (Primary),Primary,1.3510352,103.8826242
117,Pei Chun Public School,Primary,1.3371187,103.8558037
118,Pei Hwa Presbyterian Primary School,Primary,1.338081,103.77613
119,Pei Tong Primary School,Primary,1.3161197,103.7675906
120,Peiying Primary School,Primary,1.4175241,103.8302678
121,Pioneer Primary School,Primary,1.3486615,103.6933915
122,Poi Ching School,Primary,1.3577836,103.9352454
123,Princess Elizabeth Primary School,Primary,1.349245,103.7409454
124,Punggol Cove Primary School,Primary,1.4116958,103.8964213
125,Punggol Green Primary School,Primary,1.4018544,103.8988531
126,Punggol Primary School,Primary,1.3774346,103.8945968
127,Punggol View Primary School,Primary,1.4052956,103.9051799
128,Qifa Primary School,Primary,1.3128256,103.756921
129,Qihua Primary School,Primary,1.442105,103.788557
130,Queenstown Primary School,Primary,1.2962267,103.8057737
131,Radin Mas Primary School,Primary,1.2750693,103.8238799
132,Raffles Girls' Primary School,Primary,1.3300317,103.8062274
133,Red Swastika School,Primary,1.3331408,103.9341987
134,Riverside Primary School,Primary,1.4471894,103.799571
135,River Valley Primary School,Primary,1.2938838,103.8342007
136,Rivervale Primary School,Primary,1.393196,103.9021943
137,Rosyth School,Primary,1.3729086,103.8746431
138,Rulang Primary School,Primary,1.34694,103.71896
139,Sembawang Primary School,Primary,1.4454114,103.8209921
140,Sengkang Green Primary School,Primary,1.3925337,103.8751169
141,Seng Kang Primary School,Primary,1.3894228,103.8976198
142,Shuqun Primary School,Primary,1.3475475,103.7215551
143,Si Ling Primary School,Primary,1.432693,103.78577
144,Singapore Chinese Girls’ School (Primary),Primary,1.3213031,103.8266873
145,South View Primary School,Primary,1.381324,103.7449564
146,Springdale Primary School,Primary,1.3949721,103.8874914
147,Stamford Primary School,Primary,1.3039165,103.8572432
148,St. Andrew's Junior School,Primary,1.3314591,103.8650358
149,St. Anthony's Canossian Primary School,Primary,1.3342821,103.941072
150,St. Anthony's Primary School,Primary,1.3641887,103.7467703
151,St. Gabriel's Primary School,Primary,1.3496447,103.8601561
152,St. Hilda's Primary School,Primary,1.3496843,103.9361045
153,St. Joseph's Institution Junior,Primary,1.3173615,103.8454801
154,St. Margaret's Primary School,Primary,1.3250653,103.8794864
